Distance_m,Latitude,Longitude,Altitude_m,Slope_percent
19500,-26.737264377682404,27.71572660944206,1423.0,0.0
19600,-26.73684163090129,27.715147771541766,1423.0,-1.0
19700,-26.736418884120173,27.714568933641466,1422.0,0.0
19800,-26.735996137339058,27.71399009574117,1422.0,1.0
19900,-26.735573390557942,27.713411257840875,1423.0,1.0
20000,-26.735150643776826,27.712832419940575,1424.0,4.0
20100,-26.734727896995707,27.71225358204028,1428.0,0.0
20200,-26.734305150214592,27.71167474413998,1428.0,1.0
20300,-26.733882403433476,27.711095906239684,1429.0,2.0
20400,-26.73345965665236,27.71051706833939,1431.0,1.0
20500,-26.733036909871245,27.70993823043909,1432.0,0.0
20600,-26.73261416309013,27.709359392538794,1432.0,2.0
20700,-26.732191416309014,27.708780554638494,1434.0,2.0
20800,-26.7317686695279,27.7082017167382,1436.0,-1.0
20900,-26.731345922746783,27.707622878837903,1435.0,2.0
21000,-26.730923175965668,27.707044040937603,1437.0,1.0
21100,-26.730500429184552,27.706465203037308,1438.0,0.0
21200,-26.730077682403433,27.70588636513701,1438.0,3.0
21300,-26.729654935622317,27.705307527236712,1441.0,1.0
21400,-26.729232188841202,27.704728689336417,1442.0,2.0
21500,-26.728809442060086,27.704149851436117,1444.0,0.0
21600,-26.72838669527897,27.70357101353582,1444.0,2.0
21700,-26.727963948497855,27.702992175635526,1446.0,1.0
21800,-26.72754120171674,27.702413337735226,1447.0,0.0
21900,-26.727118454935624,27.70183449983493,1447.0,1.0
22000,-26.72669570815451,27.701255661934635,1448.0,1.0
22100,-26.726272961373393,27.700676824034336,1449.0,0.0
22200,-26.725850214592274,27.70009798613404,1449.0,0.0
22300,-26.72542746781116,27.69951914823374,1449.0,1.0
22400,-26.725004721030043,27.698940310333445,1450.0,0.0
22500,-26.724581974248927,27.69836147243315,1450.0,0.0
22600,-26.724159227467812,27.69778263453285,1450.0,0.0
22700,-26.723736480686696,27.697203796632554,1450.0,1.0
22800,-26.72331373390558,27.696624958732258,1451.0,0.0
22900,-26.722890987124465,27.69604612083196,1451.0,1.0
23000,-26.72246824034335,27.695467282931663,1452.0,0.0
23100,-26.722045493562234,27.694888445031363,1452.0,0.0
23200,-26.721622746781115,27.694309607131068,1452.0,0.0
23300,-26.7212,27.693730769230772,1452.0,2.0
23400,-26.720777253218884,27.693151931330473,1454.0,0.0
23500,-26.72035450643777,27.692573093430177,1454.0,1.0
23600,-26.719931759656653,27.691994255529877,1455.0,0.0
23700,-26.719509012875537,27.69141541762958,1455.0,1.0
23800,-26.719086266094422,27.690836579729286,1456.0,0.0
23900,-26.718663519313306,27.690257741828987,1456.0,1.0
24000,-26.71824077253219,27.68967890392869,1457.0,1.0
24100,-26.717818025751075,27.689100066028395,1458.0,0.0
